LC_Up_Regulated_Genes,Signalling,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3
Azgp1,LC_DCT_LC_UP,0,0.19,0.06,0.18,0.06,9.82,11.2,10.47
AW495222,LC_DCT_LC_UP,0,0,0.09,0,0,1.32,2.5,1.27
Avpr1a,LC_DCT_LC_UP,0.97,0.69,1.17,5.65,6.3,16.21,16.76,15.01
Auts2,LC_DCT_LC_UP,3.55,2.63,3.14,5.45,5.75,15.48,18.77,17.52
Atp2b4,LC_DCT_LC_UP,14.93,10.71,15.82,13.48,21.84,36.03,51.5,58.21
Atp2a3,LC_DCT_LC_UP,0.74,0.62,0.51,2.6,2.26,7.95,9.41,7.7
Atp2a1,LC_DCT_LC_UP,401.97,398.03,291.29,122.18,97.21,2116.55,2236.57,2078.6
Atp1b2,LC_DCT_LC_UP,4.11,4.22,3.09,2.35,2.51,14.96,15.29,16.62
Atp1a2,LC_DCT_LC_UP,11.77,11.56,7.23,8.08,8.44,81.19,87.33,79.42
Atp10a,LC_DCT_LC_UP,0.16,0.2,0.25,0.59,0.57,4.26,3.92,4.49
Atoh8,LC_DCT_LC_UP,3.85,2.81,3.01,1.94,2.41,33.59,35.35,28.8
Atg16l2,LC_DCT_LC_UP,0.76,2.27,0.91,5.44,3.94,23.92,23.1,20.14
Atf4,LC_DCT_LC_UP,79.15,75.45,55.7,77.87,71.69,208.5,229.7,227.75
Atf3,LC_DCT_LC_UP,1.63,2.15,2.35,2.28,2.11,301.24,345.19,305.88
Atcayos,LC_DCT_LC_UP,5.74,4.51,3.48,5.14,4.56,34.54,25.75,34.39
Asb5,LC_DCT_LC_UP,8.99,10.06,6.25,3.58,2.33,35.05,32.02,36.73
Asb2,LC_DCT_LC_UP,1.31,1.49,2.65,4.35,4.02,14.93,20.47,13.68
Asb10,LC_DCT_LC_UP,0.99,0.87,1.11,0.5,0.47,6.91,7.76,7.46
Art5,LC_DCT_LC_UP,1.88,1.97,0.98,1.05,0.92,16.92,20.15,16.44
Art3,LC_DCT_LC_UP,23.89,26.15,24.54,37.42,33.86,102.46,106.98,99.15
Art1,LC_DCT_LC_UP,7.1,8.25,4.77,4.75,4.42,86.46,93.34,79.44
Arl8a,LC_DCT_LC_UP,7.27,9.19,7.24,9.62,10.51,33.87,31.17,31.54
Arid5a,LC_DCT_LC_UP,6.46,7.25,7.17,6.47,7.34,44.81,48.41,47.19
Arhgef6,LC_DCT_LC_UP,2.01,1.9,1.36,5.63,5.62,14.97,16.61,13.65
Arhgef28,LC_DCT_LC_UP,4.23,4.04,4,4.06,4.04,19.12,18.75,18.23
Arhgef25,LC_DCT_LC_UP,4.18,3.87,2.56,5.77,6.1,34.93,36.71,35.93
Arhgef2,LC_DCT_LC_UP,5.43,5.32,4.58,6.64,5.83,20.28,27.4,21.24
Arhgef1,LC_DCT_LC_UP,27.64,26.56,26.69,47.22,40.48,96.73,113.43,99.6
Arhgdig,LC_DCT_LC_UP,2.23,1.74,1.59,0.29,0.43,8.72,10.16,7.52
Arhgap31,LC_DCT_LC_UP,3.13,3.18,3.48,3.22,3.68,12.98,11.5,12.33
Arc,LC_DCT_LC_UP,0.66,0.86,0.9,0.59,0.58,69.52,86.85,70.93
Aqp5,LC_DCT_LC_UP,1.05,0.42,0.19,0.77,0.67,7.17,6.04,5.14
Aqp2,LC_DCT_LC_UP,0,0,0,0.44,0.2,117.88,133.33,114.21
Aqp1,LC_DCT_LC_UP,24.55,27.1,21.55,48.73,41.17,353.34,397.2,337.21
App,LC_DCT_LC_UP,67.01,64.49,73.42,107.29,107.92,248.58,261.82,251.69
Apold1,LC_DCT_LC_UP,2.09,1.87,1.56,2.64,2.62,10.25,10.76,8.97
Apol6,LC_DCT_LC_UP,2.97,3.79,3.09,3.49,3.36,26.67,30.26,24.55
Apod,LC_DCT_LC_UP,121.6,117.01,63.82,214.28,240.95,905,984.9,923.56
Apobec2,LC_DCT_LC_UP,79.61,76.1,30.56,14.61,12.75,203.91,228.19,211.73
Apbb2,LC_DCT_LC_UP,6.6,6.21,5.21,8.86,9.23,23.03,25.86,22.73
Apbb1,LC_DCT_LC_UP,4.48,4.5,3.79,8.48,6.78,20.45,30.15,22.78
Anxa6,LC_DCT_LC_UP,25.52,26.53,20.84,44.02,40.68,112.71,131.28,108.54
Ano1,LC_DCT_LC_UP,1.67,1.76,1.92,13.23,12.59,66.14,78.89,63.75
Ankrd28,LC_DCT_LC_UP,1.84,1.58,1.49,2.37,2.38,8.87,7.93,8.81
Ankrd23,LC_DCT_LC_UP,17.18,17.29,19.79,27.55,24.38,165.17,191.77,154.98
Ankrd2,LC_DCT_LC_UP,2.21,1.88,2.33,1.92,1.94,73.92,78.36,65.88
Ankrd1,LC_DCT_LC_UP,0.12,0.16,0.17,0.22,0.15,19.75,19.78,20.01
Ank2,LC_DCT_LC_UP,1.89,2.17,1.95,5.35,4.42,22.37,18.8,23.45
Ank1,LC_DCT_LC_UP,5.07,4.83,3.29,1.14,1.33,17.98,18.1,16.24
Angptl7,LC_DCT_LC_UP,1.89,1.71,3.12,35.87,31.5,406.54,454.39,385.97
Ang5,LC_DCT_LC_UP,0,0,0.12,0,0,2.54,1.79,2.38
Amy1,LC_DCT_LC_UP,6.85,6.9,4.8,5.65,5.49,23.3,23.96,23.74
Amotl2,LC_DCT_LC_UP,11.11,9.56,12,17.57,15.55,46.65,54.78,47.28
Amot,LC_DCT_LC_UP,1,0.79,0.52,0.43,0.34,6.45,6.2,6.88
Alpk3,LC_DCT_LC_UP,1.69,2.2,0.88,0.45,0.41,8.92,9.84,9.62
Alg2,LC_DCT_LC_UP,4.01,3.54,4.43,6.61,5.65,16.43,18.64,17.48
Aldh2,LC_DCT_LC_UP,62.2,67.22,66.45,123.88,117.42,325.37,369.96,307.98
Aldh1a1,LC_DCT_LC_UP,6.9,7.02,4.13,11.8,11.09,37.72,38.29,40.4
Akr1c14,LC_DCT_LC_UP,4.93,4.67,1.18,0.71,0.65,29.89,29.41,32.86
Airn,LC_DCT_LC_UP,3.7,3.86,3.07,3.63,3.67,24.93,25.69,21.69
Ahdc1,LC_DCT_LC_UP,1.16,0.78,1.24,2.4,2.46,7.65,9.01,8.84
Aff3,LC_DCT_LC_UP,2.65,3.03,2.74,3.66,3.85,29.27,30.8,29.43
Aff2,LC_DCT_LC_UP,0.09,0.09,0.29,0.72,0.26,4.26,4.39,2.28
Adssl1,LC_DCT_LC_UP,22.7,20.81,15.32,10.43,10.06,68.43,82.98,71.4
Adrb2,LC_DCT_LC_UP,4.13,3.78,6.45,13.88,14.35,33.9,32.19,33.69
Adra2c,LC_DCT_LC_UP,0.04,0.15,0.02,0.2,0.09,2.66,3.64,2.25
Adra1d,LC_DCT_LC_UP,0.04,0.05,0.04,0.22,0.18,2.32,3.16,2.51
Adprhl1,LC_DCT_LC_UP,1.11,1.45,1.29,0.84,1.09,15.31,19.69,14.61
Adhfe1,LC_DCT_LC_UP,6.07,6.95,4.54,2.1,2.6,21.11,19.47,17.34
Adgrg2,LC_DCT_LC_UP,0.86,0.86,1.09,0.9,0.89,4.91,5.02,5.61
Adgre5,LC_DCT_LC_UP,2.54,2.06,1.51,8.55,7.49,20.25,22.26,21.19
Adcy2,LC_DCT_LC_UP,0.36,0.33,0.33,0.28,0.3,2.96,2.72,2.84
Adck3,LC_DCT_LC_UP,18.48,17.94,16.12,23.51,25.16,215.58,217.76,198.9
Adamtsl4,LC_DCT_LC_UP,3.21,3.92,1.84,9.51,7.99,23.84,24.02,27.25
Adamtsl3,LC_DCT_LC_UP,0.48,0.15,0.2,0.92,1,15.49,13.16,16.67
Adamtsl1,LC_DCT_LC_UP,5.71,5.5,3.59,5.62,4.75,17.58,17.03,17
Adamts14,LC_DCT_LC_UP,0.4,0.51,0.31,5.83,5.5,17.87,19.17,16.61
Actn2,LC_DCT_LC_UP,15.33,15.72,12.98,7.86,7.43,216.17,255.95,206.64
Actc1,LC_DCT_LC_UP,7.04,7.26,1.78,8.31,8.37,61.02,71.27,62.32
Acta1,LC_DCT_LC_UP,1341.43,1334.95,772.58,311.52,298.24,5207.86,5979.82,4876.53
Acsl6,LC_DCT_LC_UP,0.19,0.24,0.21,0.53,0.46,10.46,10.73,8.4
Acsf2,LC_DCT_LC_UP,1.23,1.3,0.83,0.83,0.74,9.43,8.04,7.83
Ackr3,LC_DCT_LC_UP,5.33,6.22,3.35,15.86,12.63,47.48,50.17,43.08
Acan,LC_DCT_LC_UP,0.2,0.14,0.18,0.13,0.1,186.44,215.06,180.65
Abra,LC_DCT_LC_UP,1.66,1.3,1.04,0.6,0.58,29.55,33.32,29.13
Abi3bp,LC_DCT_LC_UP,6.03,6.02,5.64,13.17,14.04,274.72,261.49,284.36
Abcb9,LC_DCT_LC_UP,1.5,1.52,1.64,4.39,4.18,10.99,15.63,12.08
Abcb4,LC_DCT_LC_UP,0.27,0.26,0.59,0.42,0.75,5.4,5.74,5.23
Aass,LC_DCT_LC_UP,0.06,0.02,0.18,0.4,0.5,3.48,3.58,5.12
A930018M24Rik,LC_DCT_LC_UP,0.21,0.73,0.84,1,1.14,4.22,6.1,4.4
A830039N20Rik,LC_DCT_LC_UP,0.06,0.07,0.06,0.15,0.1,6.17,4.44,4.34
A830012C17Rik,LC_DCT_LC_UP,0.09,0.06,0.04,0.58,0.54,3.92,3.88,4.47
A630077J23Rik,LC_DCT_LC_UP,0.09,0,0.26,0.05,0,7.7,8.17,9.15
A2m,LC_DCT_LC_UP,0,0,0.03,0.08,0.01,10.59,12.54,11.99
A230065H16Rik,LC_DCT_LC_UP,0.41,0.17,0.13,0.38,0.13,43.15,48.78,47.43
9630013D21Rik,LC_DCT_LC_UP,0.66,0.17,0.56,0.9,2.21,9.55,6.99,8.79
5430416O09Rik,LC_DCT_LC_UP,0.32,0.11,0.34,0.61,0.53,5.01,5.32,4.17
5330406M23Rik,LC_DCT_LC_UP,0.92,0.47,0.9,2.35,2.08,11.92,11.24,11.8
5033426O07Rik,LC_DCT_LC_UP,0,0,0,0,0,3.65,2.8,4.42
5031434C07Rik,LC_DCT_LC_UP,0.06,0.03,0,0.01,0.06,3.76,3.53,3.28
4933406I18Rik,LC_DCT_LC_UP,0,0,0,0.1,0,1.85,2.54,2.93
4930562F07Rik,LC_DCT_LC_UP,4.5,3.51,4.56,1.22,0.7,24.43,22.42,25.22
4930544D05Rik,LC_DCT_LC_UP,0,0,0,0.12,0,2.2,1.41,2.33
4930523C07Rik,LC_DCT_LC_UP,18.03,15.56,28.31,22.36,24.95,91.37,87.47,91.08
4921504A21Rik,LC_DCT_LC_UP,0.03,0.14,0.03,0.73,0.63,4.97,4.6,3.64
3930402G23Rik,LC_DCT_LC_UP,0.05,0.03,0.05,0.17,0.05,1.86,1.91,1.86
3632451O06Rik,LC_DCT_LC_UP,1.79,2.09,2.13,4.58,4.06,11.35,12.96,12.45
3425401B19Rik,LC_DCT_LC_UP,0.93,0.6,0.44,0.29,0.25,7.35,5.96,7.54
3300002A11Rik,LC_DCT_LC_UP,0,0.34,0,0.32,0,1.77,2.97,1.65
3110079O15Rik,LC_DCT_LC_UP,0.66,0.82,0,2.52,1.67,1115.31,1264.14,1108.15
2900018N21Rik,LC_DCT_LC_UP,0.14,0.06,0.09,0.73,0.53,4.1,4.01,3.7
2810032G03Rik,LC_DCT_LC_UP,0.59,0.26,0.41,0.41,0.26,2.85,3.15,3.34
2810001G20Rik,LC_DCT_LC_UP,5.38,3.99,6.76,10.46,11.46,41.81,41.67,40.14
2700069I18Rik,LC_DCT_LC_UP,0.21,0,0,0.29,0,4.84,4.87,4.77
2310040G07Rik,LC_DCT_LC_UP,2.21,1.92,0.8,3.03,3.56,9.38,12.58,10.52
2310008N11Rik,LC_DCT_LC_UP,0.85,1.06,1.27,0.28,0.48,4.56,4.22,7.29
2310002L09Rik,LC_DCT_LC_UP,4.65,5.65,3.99,2.04,2.77,32.14,38.72,31.53
2210408F21Rik,LC_DCT_LC_UP,6.36,6.61,3.98,8.84,10,28.78,31.68,26.03
1700049E15Rik,LC_DCT_LC_UP,0,0,0.16,0.09,0,4.23,7.98,4.43
1700003D09Rik,LC_DCT_LC_UP,0,0,0,0,0,4.9,4.31,3.41
1520401A03Rik,LC_DCT_LC_UP,0,0,0.05,1.87,1.19,51.58,58.99,51.6
1500015O10Rik,LC_DCT_LC_UP,0.64,1.25,0,14.48,13.09,915.99,1006.78,910.26
1200007C13Rik,LC_DCT_LC_UP,0.2,0.04,0.15,0.06,0,2.48,2.95,2.61
1190005I06Rik,LC_DCT_LC_UP,4.15,4.16,2.01,8.05,6.63,33.52,38.06,32.17
1190003K10Rik,LC_DCT_LC_UP,0,0.09,0,0.04,0,6.82,4.61,7.03
1190002N15Rik,LC_DCT_LC_UP,6.35,6.8,7.29,5.47,5.9,58.33,55.48,58.58
Zp2,DCT_ERST_DCT_UP,2.69,2.12,2,0,0,0.21,0.07,0.14
Zfp940,DCT_ERST_DCT_UP,12.06,15.59,13.49,2.4,2.94,4.93,3.63,4.33
Zfp772,LC_ERST_UP,2.67,2.42,3.19,13.36,12.08,2.95,3.19,2.15
Zfp652,LC_ERST_UP,3.26,3.32,3.77,32.57,35.8,5.96,5.41,5.9
Zfp60,DCT_ERST_DCT_UP,15.09,13.61,13.21,4.61,4.12,2.56,2.85,2.44
Zfp367,LC_ERST_UP,4.67,4.29,3.81,21.38,23.84,4.22,3.28,3.88
Zfand6,DCT_ERST_DCT_UP,293.82,281.63,292.85,120.62,124.98,54.71,51.82,51.39
Zdhhc5,DCT_ERST_DCT_UP,22.46,21.69,18.96,7.61,6.42,5.84,5.63,6.74
Zdhhc13,DCT_ERST_DCT_UP,18.93,19.35,27.01,7.84,7.92,2.08,1.93,1.67
Zan,DCT_ERST_DCT_UP,27.29,27.49,26.09,2.71,2.61,1.89,1.35,1.78
Ywhae,DCT_ERST_DCT_UP,344.41,340.49,477.82,186.09,223.94,135.37,116.77,136.96
Ypel5,DCT_ERST_DCT_UP,105.63,104.52,104.58,49.01,55.21,25.21,20.42,24.95
Wnt7b,LC_ERST_UP,5.7,5.58,5.27,33.43,27.88,0,0,0.03
Wnt5a,DCT_ERST_DCT_UP,20.54,22.56,25.64,5.97,6.16,1.67,2.29,1.76
Wnt11,DCT_ERST_DCT_UP,19,23.97,25.16,6.7,5,4.68,6.02,3.85
Wfdc5,LC_ERST_UP,11.1,9.8,11.45,53.77,52.93,0,0,0
Wfdc21,LC_ERST_UP,280.65,287.59,218.19,1074.57,943.58,29.61,27.53,26.65
Wfdc18,DCT_ERST_DCT_UP,89.43,88.8,54.28,19.69,20.65,0.34,0.94,0
Wfdc17,LC_ERST_UP,80.78,84.91,24.67,313.15,293.49,28.93,29.62,35.15
Wfdc12,LC_ERST_UP,1.22,1.52,0.43,41.16,44.89,2.67,2.62,0.65
Wdr62,LC_ERST_UP,2.88,2.23,0.54,14.37,13.73,1.95,4.45,1.71
Wdr26,DCT_ERST_DCT_UP,93.39,98.2,85.24,43.66,44.5,33.29,36.56,32.09
Wdr12,DCT_ERST_DCT_UP,27.92,29.59,34.19,13.85,15.09,8.28,9.04,6.73
Vtcn1,DCT_ERST_DCT_UP,1.8,1.96,2.56,0.22,0.33,0.07,0,0
Vsig8,DCT_ERST_DCT_UP,278.73,283.73,206.19,3.36,2.84,0.37,0.44,0.36
Vdr,DCT_ERST_DCT_UP,35.4,34.94,35.91,11.39,11.15,0.45,0.65,0.32
Vamp3,DCT_ERST_DCT_UP,440.57,467.31,482.39,132.64,138.61,91.5,79.52,87.32
Uty,LC_ERST_UP,0.82,0.92,1.48,13.09,14.74,2.19,1.02,1.85
Upp1,DCT_ERST_DCT_UP,82.36,83.89,67.39,2.98,2.53,1.74,1.68,1.84
Upk3bl,DCT_ERST_DCT_UP,3.37,2.62,1.72,0.04,0.07,0.17,0,0
Upk1b,DCT_ERST_DCT_UP,2.35,3.01,2.49,0.04,0.04,0,0,0
Uox,DCT_ERST_DCT_UP,5.68,4.98,5.8,0.1,0.21,0,0,0
Unc5b,DCT_ERST_DCT_UP,10.65,11.08,8.59,3.71,4.17,1.4,1.2,1.16
Unc13d,DCT_ERST_DCT_UP,106.57,105.84,92.58,14.18,18.35,33.24,28.96,33.74
Ugt1a1,LC_ERST_UP,11.21,9.92,11.64,62.84,73.41,0,0,0
Ucp2,DCT_ERST_DCT_UP,497.1,466.68,412.25,122.15,93.23,111.3,157.79,119.67
Ucn2,LC_ERST_UP,0.34,0.34,0.07,7.03,5.34,0.6,0,0.29
Uchl5,DCT_ERST_DCT_UP,605.35,582.97,534.34,129.1,156.44,176.09,117.99,152.78
Ube2c,DCT_ERST_DCT_UP,45.08,46.69,49.39,24.95,24.75,2.25,2.84,2.48
Ubald2,DCT_ERST_DCT_UP,45.85,48.87,40.92,20.98,19.22,10.92,12.19,11.57
U3,LC_ERST_UP,11.42,0,6.27,47.85,41.68,14.11,19.53,10.13
Tyr,DCT_ERST_DCT_UP,15.19,13.91,22.6,4.18,4.93,2.16,1.54,2.12
Tubb6,DCT_ERST_DCT_UP,118.65,113.23,141.66,29.18,28.51,32.18,37.94,30.31
Tubb3,DCT_ERST_DCT_UP,40.69,40.09,43.86,3.4,2.95,0.05,0,0.06
Tuba1a,DCT_ERST_DCT_UP,712.27,705.27,665.51,354.6,321.93,289.29,337.56,290.5
Ttyh3,DCT_ERST_DCT_UP,6.55,6.51,6.83,1.68,1.74,1.69,1.61,2
Tspan13,DCT_ERST_DCT_UP,58.26,58.66,65.41,15.57,16.62,19.1,18.68,20.41
Tspan1,DCT_ERST_DCT_UP,2.12,2.54,3,0.05,0.09,0,0,0
Tslp,LC_ERST_UP,1.79,1.81,1.16,7.82,8.14,0.79,1.11,0.81
Trpv6,DCT_ERST_DCT_UP,10.26,9.58,7.62,3.84,3.29,0.06,0,0.08
Trpm2,DCT_ERST_DCT_UP,5.59,7.13,5.05,0.79,1.14,1.13,0.88,1.08
Trpm1,DCT_ERST_DCT_UP,17.97,22.34,28.1,5.37,5.96,0.82,2.78,1.2
Trp53inp1,DCT_ERST_DCT_UP,13.08,11.14,11.72,5.21,3.99,5.75,4.9,5.67
Trim6,DCT_ERST_DCT_UP,11.56,17.13,11.81,3.29,3.42,7.01,4.84,6.29
Trim59,DCT_ERST_DCT_UP,21.88,23.82,27.84,10.71,8.62,4.25,4.88,3.34
Trim40,DCT_ERST_DCT_UP,1.86,1.7,1.7,0.04,0.05,0,0,0
Trdv4,LC_ERST_UP,1.25,1.54,2.23,17.25,16.76,0,0.66,1.11
Trat1,LC_ERST_UP,0.65,1.3,1.12,7.25,7.63,0,1.26,0.19
Tpsb2,LC_ERST_UP,22.65,23.92,11.94,100.57,97.95,4.07,5.03,3.84
Tpsab1,LC_ERST_UP,0.07,0.17,0.08,39.23,33.03,5.55,7.31,5.12
Tprg,LC_ERST_UP,14.75,13.18,17.59,53.13,52.18,1.89,1.84,2.24
Tpd52l1,DCT_ERST_DCT_UP,42.77,40.12,30.25,4.06,2.94,10.8,11.28,11.31
Topbp1,DCT_ERST_DCT_UP,28.11,27.69,28.2,12.26,13.54,10.86,9.15,11.47
Tomm6,DCT_ERST_DCT_UP,430.69,407.73,384.28,180.66,206.71,129.5,117.22,124.54
Tnnt2,LC_ERST_UP,3.67,4.73,5.2,25.79,29.47,2.24,2.92,3.39
Tnmd,LC_ERST_UP,2.96,3.93,2.68,75.33,86.63,19.65,19.43,20.87
Tnks2,DCT_ERST_DCT_UP,28.26,26.73,32.26,10.85,17.39,14.69,11.59,15.55
Tnfrsf26,LC_ERST_UP,0.58,0.62,0.29,9.96,11.02,1.27,1.14,1.33
Tnfrsf13b,LC_ERST_UP,0.43,0.58,0.54,4.54,5.39,0.28,0.18,0.2
Tnfrsf11a,LC_ERST_UP,0.32,0.22,0.37,5.45,5.32,0.59,1.6,0.8
Tnfaip8l2,LC_ERST_UP,2.86,2.71,1.17,10.82,9.88,1.24,1.12,1.12
Tmprss4,LC_ERST_UP,5.43,5.25,7.35,89.34,78.85,0,0,0
Tmprss11e,DCT_ERST_DCT_UP,26.48,25.74,35.09,6.48,6.51,0,0,0
Tmem80,DCT_ERST_DCT_UP,83.36,80.92,74.36,23.8,26.08,26.76,27.35,30.83
Tmem64,DCT_ERST_DCT_UP,19,19.29,18.23,4.66,4.32,8.13,7.26,7.95
Tmem62,DCT_ERST_DCT_UP,12.64,11.64,15.96,5.35,4.14,2.7,3.15,2.77
Tmem45a2,LC_ERST_UP,0.05,0,0.02,2.1,2.27,0,0,0
Tmem263,LC_ERST_UP,8.61,8.14,9.32,38.48,42.34,12.83,11.77,13.69
Tmem229b,DCT_ERST_DCT_UP,66.3,66.81,49.11,10.22,8.9,1.54,1.98,1.72
Tmem181b-ps,LC_ERST_UP,5.76,6.28,5.34,42.43,47.98,9.97,11.06,8.6
Tmem180,DCT_ERST_DCT_UP,12.2,10.59,11.05,3.49,3.75,1.86,2.33,1.8
Tmem179,DCT_ERST_DCT_UP,2.51,2.03,1.39,0.12,0.08,0.42,0.2,0.26
Tmem171,DCT_ERST_DCT_UP,6.89,6.81,8.09,2.31,2.26,1.27,0.92,0.98
Tmem154,LC_ERST_UP,5.92,5.99,8.01,30.41,29.79,5.78,6.22,5.7
Tmem109,LC_ERST_UP,50.06,50.95,57.52,378.26,328.37,101.51,111.68,94.69
Tmeff1,DCT_ERST_DCT_UP,4.42,4.99,5.2,1.23,1.21,1.24,1.62,1.17
Tma7,DCT_ERST_DCT_UP,528.77,513.97,624.78,308.58,311.74,116.17,124.1,122.24
Tm7sf2,LC_ERST_UP,4.34,4.6,4.48,18.75,15.63,3.14,4.98,4.02
Tm4sf4,DCT_ERST_DCT_UP,59.65,60.17,47.58,0.1,0.19,0.06,0,0
Tm4sf1,DCT_ERST_DCT_UP,1037.88,1043.98,777.86,82.84,91.32,137.03,138.72,136.85
Tlx1,LC_ERST_UP,0,0.26,0,8.02,7.75,0,0,0
Tlcd2,LC_ERST_UP,7.84,8.73,7.08,112.57,115.18,13.21,10.8,9.38
Tjp3,LC_ERST_UP,1.54,1.54,2.3,18.53,14.87,0,0,0.03
Tjp2,DCT_ERST_DCT_UP,42.46,41.15,41.28,9.48,9.37,3.02,3.66,3.14
Timmdc1,DCT_ERST_DCT_UP,36.95,35.96,39.46,15.82,16,10.13,8.64,9.68
Timeless,DCT_ERST_DCT_UP,34.26,44.09,27.74,16.28,19.34,14.69,14.82,14.46
Thsd1,DCT_ERST_DCT_UP,9.91,9.03,12.35,3.27,3.83,1.92,1.64,1.66
Them5,LC_ERST_UP,29.74,27.56,42.43,357.65,385.18,0.23,0.14,0.18
Them4,DCT_ERST_DCT_UP,23.32,24.02,28.68,9.93,10.75,5.89,4.5,6.42
Tgm6,DCT_ERST_DCT_UP,22.58,22.27,23.18,0.11,0.07,0,0,0
Tgm3,DCT_ERST_DCT_UP,10.63,11.08,10.94,4.39,3.93,0.01,0,0.02
Tgfbi,LC_ERST_UP,26.32,29.74,21.92,167.02,150.88,22.46,28.42,20.74
Tgfa,DCT_ERST_DCT_UP,26.97,28,28.32,5.87,5.06,2.94,2.97,2.86
Tex40,DCT_ERST_DCT_UP,7.44,6.56,5.81,0.94,0.82,0,0,0
Tex264,LC_ERST_UP,82.51,80.88,76.9,256.95,244.59,64.5,79.32,63.23
Teddm3,LC_ERST_UP,20.24,20.11,25.46,108.39,106.57,0,0,0
Teddm1b,DCT_ERST_DCT_UP,8.76,10.37,9.23,0.54,0.9,2.08,0.94,1.53
Tdg-ps,LC_ERST_UP,0,0.05,0.01,8.44,7.51,1.29,2.01,1.5
Tcrg-V5,LC_ERST_UP,0,0.65,3.04,14.71,15.16,0,0,0
Tcrg-C1,LC_ERST_UP,1.58,1.64,1.27,12.61,15.4,0,0,0
Tcp11l2,DCT_ERST_DCT_UP,35.37,35.18,31.39,16.11,14.3,13.63,14.38,11.99
Tchhl1,DCT_ERST_DCT_UP,615.04,619.51,569.24,2.64,2.7,0,0,0
Tchh,DCT_ERST_DCT_UP,2112.4,2035.1,2232.89,10.46,9.9,0.34,0.38,0.34
Tbc1d10c,LC_ERST_UP,0.58,0.37,0.5,5.63,3.81,0.63,1.4,0.67
Tango2,DCT_ERST_DCT_UP,137.73,138.18,158.3,42.63,48.95,64.68,48.52,55.73
Taldo1,DCT_ERST_DCT_UP,487.47,475.92,485.66,234.25,234,138.09,143.47,140.6
Tagln3,DCT_ERST_DCT_UP,58.71,58.45,52.7,0.46,0.46,0.08,0.42,0.09
Tagln2,DCT_ERST_DCT_UP,257.02,255.11,240.64,125.64,104.41,127.57,144.19,118.65
Tac4,LC_ERST_UP,0,0,0,4.45,3.85,0,0,0.09
Sytl2,DCT_ERST_DCT_UP,8.4,8.17,10.11,1.76,2.08,0.91,1.1,1.31
Syt7,DCT_ERST_DCT_UP,2.87,2.75,1.81,0.05,0.07,0.21,0.26,0.28
Syt13,LC_ERST_UP,0.07,0.05,0.15,9.83,8.76,0.21,0.2,0.19
Synb,DCT_ERST_DCT_UP,6.53,6.95,7.36,0.43,0.62,0.66,0.33,0.52
Sun2,DCT_ERST_DCT_UP,28.28,30.06,22.05,14.95,11.46,8.92,9.83,8.57
Stra6,DCT_ERST_DCT_UP,17.7,15.66,21,1.67,1.48,0,0,0
Stox1,DCT_ERST_DCT_UP,27.72,27.21,28.51,0.25,0.13,0.2,0.13,0.29
Stmn1,DCT_ERST_DCT_UP,211.93,210.91,232.32,81.69,86.7,2.84,3.29,2.61
Stk19-ps1,LC_ERST_UP,0,0.12,0,2.12,2.8,0,0,0.27
Steap1,DCT_ERST_DCT_UP,8.18,8.7,13.84,0.46,0.82,1.74,2,2.29
Stbd1,DCT_ERST_DCT_UP,18.74,18.89,26.19,1.13,0.82,8.81,9.29,8.64
Stap2,LC_ERST_UP,7.15,6.47,9.01,47.06,50.88,1.52,2.26,2.93
St8sia1,DCT_ERST_DCT_UP,2.98,3.73,2.21,0.39,0.19,0.13,0.05,0.16
St6gal1,DCT_ERST_DCT_UP,12.65,13.73,9.53,3.9,4.46,2.42,3.15,2.28
St14,DCT_ERST_DCT_UP,45.35,47.26,58.01,15.04,14.41,0.08,0.05,0.09
Srpx,LC_ERST_UP,6.34,6.35,4.21,44.53,40.84,4.24,6.06,6.2
Srms,DCT_ERST_DCT_UP,15.46,15.73,19.48,1.3,0.85,0.17,0.12,0.04
Sptssb,DCT_ERST_DCT_UP,48.66,51.77,61.57,1.56,2.68,0,0.09,0
Sptssa,LC_ERST_UP,79.35,79.14,84.72,384.8,359.59,71.51,63.93,74.65
Sptlc3,LC_ERST_UP,4.99,4.51,7.1,47.97,47.39,0.12,0.07,0.09
Sprr4,DCT_ERST_DCT_UP,179.81,199.37,136.08,56.83,46.91,0,0,0
Sprr2i,LC_ERST_UP,0.45,0.19,0.14,10.2,10.47,0,0,0
Sprr2h,DCT_ERST_DCT_UP,392.7,392.23,219.43,14.29,13.96,0,0,0
Sprr2e,LC_ERST_UP,0.14,0.18,0,2.49,1.95,0,0,0
Sprr2d,LC_ERST_UP,0.26,0,0,21.79,27.32,0,0,0
Sprr2b,LC_ERST_UP,0,0,0,4.91,4.88,0,0,0
Sprr1b,DCT_ERST_DCT_UP,204.2,197.25,162,82.74,79.22,0,0,0
Sprr1a,DCT_ERST_DCT_UP,5777.16,5640.99,4698.22,700.94,708.7,0.13,0,0.46
Spink7,LC_ERST_UP,0,0,0,2.3,1.32,0,0,0
Spink6,DCT_ERST_DCT_UP,3.4,3.22,3.18,0.18,0.15,0,0,0
Spink12,DCT_ERST_DCT_UP,19.53,20.19,20.14,0.76,1.19,0,0,0
Spi1,LC_ERST_UP,3.82,2.56,1.82,27.98,25.37,4.44,5.97,3.75
